ID,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Name_hash
113059,M,24.0,,,Hungary,HUN,1912 Summer,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Middleweight A, Greco-Roman",,d23549c4966b8fd03e9e1320fa3753dfdcd97823dbd7f0aa2fed95ff28e5f74d
113060,M,33.0,183.0,95.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,,e03442fc1a4c087edb69dd9ccc5a06a3b4b3536829bc75c410f379330d075152
113062,M,24.0,195.0,92.0,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",,f176f2657569a9d0aaa2843aa90fb8b9852a78c7b469aba0aeb19ff9c92105f5
113204,F,18.0,,,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 200 metres,,4335079b2afd19ab3ec3015a2b50dc74e9d5feaf8401c1a87bb8e90f746ff871
113204,F,18.0,,,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 80 metres Hurdles,,4335079b2afd19ab3ec3015a2b50dc74e9d5feaf8401c1a87bb8e90f746ff871
113206,M,20.0,175.0,67.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,6e13012378215fa96303ff795e7ce60c4b2c1c45be68960bdf0865c3cec6fa1c
113206,M,20.0,175.0,67.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",,6e13012378215fa96303ff795e7ce60c4b2c1c45be68960bdf0865c3cec6fa1c
113206,M,24.0,175.0,67.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",,6e13012378215fa96303ff795e7ce60c4b2c1c45be68960bdf0865c3cec6fa1c
113207,M,30.0,,,Hungary,HUN,1932 Summer,1932,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze,49a5a3d4f68972d1e73aa581ce8df86137476a395007b3be83e63eaed568ce50
113207,M,34.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,49a5a3d4f68972d1e73aa581ce8df86137476a395007b3be83e63eaed568ce50
113216,M,27.0,,,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",,f0d5b9e399b189f334c50c5389f73df143f14d245d683172441a4a73c1013094
113217,M,25.0,,,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",,63352d9bde1818fe6870dd020868799492703e3e9b09f3cbc6b7946a69d3283e
113228,M,25.0,172.0,66.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's 1,000 metres Time Trial",,1356e6857c8f2f9eb6d6e5f7322b3f5e5526f46f5dde20d962106e5ac5614e14
113293,M,15.0,172.0,68.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Swimming,"Swimming Men's 1,500 metres Freestyle",,0388286d42daad61aed5f686f7c9be1cf1a118d15ecf81cf3fa579f72c2b6931
113293,M,15.0,172.0,68.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Individual Medley,,0388286d42daad61aed5f686f7c9be1cf1a118d15ecf81cf3fa579f72c2b6931
113293,M,19.0,172.0,68.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Butterfly,,0388286d42daad61aed5f686f7c9be1cf1a118d15ecf81cf3fa579f72c2b6931
113293,M,19.0,172.0,68.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 400 metres Individual Medley,,0388286d42daad61aed5f686f7c9be1cf1a118d15ecf81cf3fa579f72c2b6931
113293,M,23.0,172.0,68.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 400 metres Individual Medley,,0388286d42daad61aed5f686f7c9be1cf1a118d15ecf81cf3fa579f72c2b6931
113294,M,26.0,169.0,69.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,,6887cd9ee1a4bab86f8b0046b52f9c176c1531a1f7ace33310bfeb8428b6b525
113294,M,26.0,169.0,69.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,,6887cd9ee1a4bab86f8b0046b52f9c176c1531a1f7ace33310bfeb8428b6b525
113294,M,26.0,169.0,69.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Floor Exercise,,6887cd9ee1a4bab86f8b0046b52f9c176c1531a1f7ace33310bfeb8428b6b525
113294,M,26.0,169.0,69.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,,6887cd9ee1a4bab86f8b0046b52f9c176c1531a1f7ace33310bfeb8428b6b525
113294,M,26.0,169.0,69.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Parallel Bars,,6887cd9ee1a4bab86f8b0046b52f9c176c1531a1f7ace33310bfeb8428b6b525
113294,M,26.0,169.0,69.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horizontal Bar,,6887cd9ee1a4bab86f8b0046b52f9c176c1531a1f7ace33310bfeb8428b6b525
113294,M,26.0,169.0,69.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Rings,,6887cd9ee1a4bab86f8b0046b52f9c176c1531a1f7ace33310bfeb8428b6b525
113294,M,26.0,169.0,69.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Pommelled Horse,,6887cd9ee1a4bab86f8b0046b52f9c176c1531a1f7ace33310bfeb8428b6b525
113296,F,27.0,176.0,67.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,,41de7732e87b0f5b7ffd920bb91526ce209db11c9530ae8a034d34b401f09984
113296,F,31.0,176.0,67.0,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,,41de7732e87b0f5b7ffd920bb91526ce209db11c9530ae8a034d34b401f09984
113340,F,19.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 400 metres Freestyle,,9a2e512124289df8942c58ffe99c06d68a7ebf55903b833ed24b48f6d188d4f5
113384,M,22.0,192.0,86.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Handball,Handball Men's Handball,,cf8af914b8eb4883f6293693c8266fba575cbc88991768e23124fc536fbcd8a9
113504,M,25.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Wrestling,"Wrestling Men's Welterweight, Freestyle",,11ae3b6ac7098eda4add1ad09e3d30a5ded404eb67a51807ba182768e0bbdb79
113504,M,37.0,,,Hungary,HUN,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Welterweight, Freestyle",,11ae3b6ac7098eda4add1ad09e3d30a5ded404eb67a51807ba182768e0bbdb79
113730,M,20.0,,,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 400 metres,,86b708a1932e5912f8b98bbdc7e9f00397c0c4cdc2fabda500ca0531c11a34d9
113730,M,20.0,,,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 800 metres,,86b708a1932e5912f8b98bbdc7e9f00397c0c4cdc2fabda500ca0531c11a34d9
113730,M,20.0,,,Hungary,HUN,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's 200 metres Hurdles,,86b708a1932e5912f8b98bbdc7e9f00397c0c4cdc2fabda500ca0531c11a34d9
113900,M,22.0,175.0,75.0,Hungary,HUN,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 20 kilometres,,5db76fc338333b3643f0e10f494c1f84ebb1bab41a7050e5276c96baec27740a
113900,M,22.0,175.0,75.0,Hungary,HUN,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,5db76fc338333b3643f0e10f494c1f84ebb1bab41a7050e5276c96baec27740a
114071,M,23.0,200.0,82.0,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,,8858106f0acfd0a596ccc125838555b36044c04916a90987699265e2c4194059
114199,F,33.0,163.0,47.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,,336ede323936baf5710c033833c9d8b4ca045bf07b5f17feb99373d9a147714f
114268,M,26.0,178.0,72.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",,50ded9b346dbb317cb1e159532df85020af58af310e2c4f322bfc1904c06d7f6
114268,M,30.0,178.0,72.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,,50ded9b346dbb317cb1e159532df85020af58af310e2c4f322bfc1904c06d7f6
114349,M,26.0,176.0,70.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 20 kilometres Walk,,e80915d81191f9f31daa5d9d7451c60dd45297d0993082915985a76c1724f5c8
114416,M,22.0,162.0,79.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Middleweight,,c94d2caf1ce07cb003ac454ae543c3ba63a8e9d185e4fcd573fa5a0b8534ea49
114416,M,26.0,162.0,79.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Middleweight,,c94d2caf1ce07cb003ac454ae543c3ba63a8e9d185e4fcd573fa5a0b8534ea49
114427,M,20.0,180.0,125.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight II,,f08a38abd492d63e43aab806c197e744578db5121a0a062ebd1a24ce88f8cbef
114427,M,24.0,180.0,125.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Super-Heavyweight,,f08a38abd492d63e43aab806c197e744578db5121a0a062ebd1a24ce88f8cbef
114427,M,28.0,180.0,125.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Super-Heavyweight,,f08a38abd492d63e43aab806c197e744578db5121a0a062ebd1a24ce88f8cbef
114628,M,25.0,172.0,68.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",,5dea07d8921791a6a05c1536927b984d55105da9bf1862a8ab2f4c1cd75e2679
